Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@nb_soleclub,"1,230 ",138 ,55 ,5,,https://www.depop.com/nb_soleclub/
@olliew97,"1,670 ",136 ,66 ,5,,https://www.depop.com/olliew97/
@somethingbluemaybered,444 ,136,88 ,5,,https://www.depop.com/somethingbluemaybered/
@morgan12321,"1,061 ",135 ,176 ,5,,https://www.depop.com/morgan12321/
@ajatuch1,"1,606 ",133 ,113 ,4.9,http://www.instagram.com/ajatuchband,https://www.depop.com/ajatuch1/
@slamstore,275 ,132,67 ,5,,https://www.depop.com/slamstore/
@jedtrolley,"1,455 ",131 ,73 ,5,,https://www.depop.com/jedtrolley/
@tomwatts2611,692 ,128,72 ,4.8,,https://www.depop.com/tomwatts2611/
@nishshop,677 ,128,62 ,5,https://www.instagram.com/nish.shop.23/,https://www.depop.com/nishshop/
@frankiewaugh_,565 ,128,93 ,5,https://instagram.com/frankiewaugh?igshid=vn39sztzffd8,https://www.depop.com/frankiewaugh_/
@qualitsneaker,"5,611 ",124 ,75 ,5,https://www.instagram.com/qualitsneakers/,https://www.depop.com/qualitsneaker/
@geddsie,744 ,124,84 ,4.95,https://instagram.com/w1llgeddes,https://www.depop.com/geddsie/
@aia1105,218 ,124,72 ,5,,https://www.depop.com/aia1105/
@henryjones10,945 ,122 ,116 ,5,,https://www.depop.com/henryjones10/
@lsa_100,783 ,122,53 ,4.85,,https://www.depop.com/lsa_100/
@brgarms,502 ,122,63 ,4.35,,https://www.depop.com/brgarms/
@danwhitley4,272 ,120,71 ,4.95,,https://www.depop.com/danwhitley4/
@chris_s_ramos,128 ,120,94 ,5,https://www.instagram.com/chris_s_ramos,https://www.depop.com/chris_s_ramos/
@bees1991,73 ,120,55 ,5,,https://www.depop.com/bees1991/
@tomd1997,28 ,120,53 ,5,,https://www.depop.com/tomd1997/
@cremedelacrepes,"1,022 ",119 ,67 ,5,,https://www.depop.com/cremedelacrepes/
@monicajasmine_,386 ,119,74 ,5,https://www.instagram.com/monicajasmine_/,https://www.depop.com/monicajasmine_/
@charliemccausland,329 ,117,63 ,5,https://instagram.com/mcc.charlie,https://www.depop.com/charliemccausland/
@sheepzboi,"7,167 ",116 ,99 ,4.8,,https://www.depop.com/sheepzboi/
@tbd_customs,911 ,116 ,118 ,5,https://instagram.com/onyx_exclusives?igshid=YmMyMTA2M2Y=,https://www.depop.com/tbd_customs/
@cgrove26,65 ,116,62 ,5,,https://www.depop.com/cgrove26/
@annstr12,121 ,115,14 ,5,https://instagram.com/annstr_store,https://www.depop.com/annstr12/
@str8juggin100k,799 ,114,58 ,4.1,,https://www.depop.com/str8juggin100k/
@maxosully,458 ,114,107 ,4.95,,https://www.depop.com/maxosully/
@inq,317 ,114,68 ,5,,https://www.depop.com/inq/
@bmollanji,94 ,114,70 ,5,,https://www.depop.com/bmollanji/
@tombowley288,"1,607 ",113 ,41 ,4.95,https://instagram.com/ingoodtime.store?utm_medium=copy_link,https://www.depop.com/tombowley288/
@andyross_,66 ,113,37 ,4.6,,https://www.depop.com/andyross_/
@snkrfiend,"1,110 ",112 ,40 ,5,,https://www.depop.com/snkrfiend/
@laceddown,704 ,112,92 ,5,,https://www.depop.com/laceddown/
@onyxarchivee,"1,262 ",111 ,47 ,5,https://www.onyxarchive.com,https://www.depop.com/onyxarchivee/
@smokfits,328 ,111,52 ,5,,https://www.depop.com/smokfits/
@jksports,120 ,111,52 ,5,https://ebay.co.uk/usr/jksports,https://www.depop.com/jksports/
@elliott_robo,270 ,110,52 ,4.15,,https://www.depop.com/elliott_robo/
@origamin73,139 ,109,32 ,4.9,,https://www.depop.com/origamin73/
@jdfdepop,88 ,108,43 ,5,,https://www.depop.com/jdfdepop/
@cmoz95,173 ,107,52 ,4.9,,https://www.depop.com/cmoz95/
@bloor,488 ,106,57 ,5,https://instagram.com/blo.oor?igshid=OGQ5ZDc2ODk2ZA==,https://www.depop.com/bloor/
@jacklofthouse99,123 ,106,89 ,5,,https://www.depop.com/jacklofthouse99/
@bushybroweth,100 ,106,35 ,4.95,,https://www.depop.com/bushybroweth/
@thestashuk,530 ,104,48 ,5,https://thestash.uk,https://www.depop.com/thestashuk/
@reubencb,237 ,103,39 ,5,,https://www.depop.com/reubencb/
@1nerz,191 ,103,107 ,5,,https://www.depop.com/1nerz/
@luwilarchive,"1,365 ",102 ,48 ,4.9,,https://www.depop.com/luwilarchive/
@cxgoods,120 ,102,132 ,5,,https://www.depop.com/cxgoods/
@justcallmeloz,576 ,101,45 ,4.9,,https://www.depop.com/justcallmeloz/
@best_deals_on_depop,179 ,100,79 ,4.7,https://Instagram.com/chris_lammas,https://www.depop.com/best_deals_on_depop/
@michaeljackmcdonald,161 ,100,54 ,4.95,https://www.instagram.com/michael_jack_mcdonald/,https://www.depop.com/michaeljackmcdonald/
